"GEO_ID","NAME","B99283_001E","B99283_002E","B99283_003E","B99283_004E","B99283_005E"
"id","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Allocated!!Dial-up","Estimate!!Total!!Allocated!!Broadband such as cable, fiberoptic, or DSL, satellite, and other service","Estimate!!Total!!Allocated!!Cellular data plan","Estimate!!Total!!Not allocated"
"1400000US41071031000","Census Tract 310, Yamhill County, Oregon","1419","16","16","140","1279"
"1400000US41071030201","Census Tract 302.01, Yamhill County, Oregon","2098","65","65","210","1888"
"1400000US41005020403","Census Tract 204.03, Clackamas County, Oregon","1319","20","20","183","1116"
"1400000US41005020404","Census Tract 204.04, Clackamas County, Oregon","1456","32","32","158","1289"
"1400000US41005020504","Census Tract 205.04, Clackamas County, Oregon","2560","235","235","514","1957"
"1400000US41005020505","Census Tract 205.05, Clackamas County, Oregon","1173","54","54","318","855"
"1400000US41005022105","Census Tract 221.05, Clackamas County, Oregon","2251","44","44","246","2005"
"1400000US41005022107","Census Tract 221.07, Clackamas County, Oregon","1822","76","76","318","1504"
"1400000US41005022108","Census Tract 221.08, Clackamas County, Oregon","1381","140","140","275","1106"
"1400000US41005022205","Census Tract 222.05, Clackamas County, Oregon","1424","31","31","257","1167"
"1400000US41005022206","Census Tract 222.06, Clackamas County, Oregon","2491","107","107","479","1993"
"1400000US41005022207","Census Tract 222.07, Clackamas County, Oregon","1971","57","57","312","1636"
"1400000US41005022208","Census Tract 222.08, Clackamas County, Oregon","2391","85","85","371","2013"
"1400000US41005022301","Census Tract 223.01, Clackamas County, Oregon","1536","82","82","287","1249"
"1400000US41005022302","Census Tract 223.02, Clackamas County, Oregon","2071","158","158","509","1562"
"1400000US41005022603","Census Tract 226.03, Clackamas County, Oregon","1438","50","50","218","1220"
"1400000US41005022605","Census Tract 226.05, Clackamas County, Oregon","2649","52","52","368","2253"
"1400000US41005022710","Census Tract 227.10, Clackamas County, Oregon","1131","22","22","143","981"
"1400000US41005022606","Census Tract 226.06, Clackamas County, Oregon","1818","69","69","280","1538"
"1400000US41005022707","Census Tract 227.07, Clackamas County, Oregon","2413","15","15","326","2087"
"1400000US41005022708","Census Tract 227.08, Clackamas County, Oregon","1518","36","36","225","1293"
"1400000US41005022904","Census Tract 229.04, Clackamas County, Oregon","1376","21","21","172","1193"
"1400000US41005022905","Census Tract 229.05, Clackamas County, Oregon","1625","16","16","205","1420"
"1400000US41005022906","Census Tract 229.06, Clackamas County, Oregon","1226","95","95","194","1022"
"1400000US41005022907","Census Tract 229.07, Clackamas County, Oregon","1492","146","146","199","1252"
"1400000US41005023001","Census Tract 230.01, Clackamas County, Oregon","1251","34","34","163","1088"
"1400000US41005023002","Census Tract 230.02, Clackamas County, Oregon","1440","88","88","276","1164"
"1400000US41005023403","Census Tract 234.03, Clackamas County, Oregon","1973","57","57","385","1585"
"1400000US41005023404","Census Tract 234.04, Clackamas County, Oregon","2332","59","59","411","1921"
"1400000US41005023901","Census Tract 239.01, Clackamas County, Oregon","1855","32","32","214","1641"
"1400000US41005023902","Census Tract 239.02, Clackamas County, Oregon","1892","89","89","166","1673"
"1400000US41005024303","Census Tract 243.03, Clackamas County, Oregon","1164","9","9","127","1037"
"1400000US41005024304","Census Tract 243.04, Clackamas County, Oregon","984","0","0","79","905"
"1400000US41005980000","Census Tract 9800, Clackamas County, Oregon","22","0","0","4","18"
"1400000US41071030400","Census Tract 304, Yamhill County, Oregon","2882","97","97","216","2607"
"1400000US41071030701","Census Tract 307.01, Yamhill County, Oregon","3376","127","127","542","2776"
"1400000US41071030801","Census Tract 308.01, Yamhill County, Oregon","2175","59","59","146","2018"
"1400000US41071030502","Census Tract 305.02, Yamhill County, Oregon","1786","48","48","165","1606"
"1400000US41071030802","Census Tract 308.02, Yamhill County, Oregon","1286","37","37","128","1139"
"1400000US41071030900","Census Tract 309, Yamhill County, Oregon","1413","43","43","143","1257"
"1400000US41071030202","Census Tract 302.02, Yamhill County, Oregon","2208","47","47","233","1947"
"1400000US41001950300","Census Tract 9503, Baker County, Oregon","1122","55","55","137","957"
"1400000US41001950100","Census Tract 9501, Baker County, Oregon","1255","8","8","134","1121"
"1400000US41001950400","Census Tract 9504, Baker County, Oregon","1231","72","72","261","970"
"1400000US41001950600","Census Tract 9506, Baker County, Oregon","925","25","25","107","810"
"1400000US41001950200","Census Tract 9502, Baker County, Oregon","1422","20","20","194","1221"
"1400000US41001950500","Census Tract 9505, Baker County, Oregon","972","45","45","75","883"
"1400000US41033361100","Census Tract 3611, Josephine County, Oregon","4007","297","297","747","3232"
"1400000US41033361300","Census Tract 3613, Josephine County, Oregon","3059","84","84","624","2435"
"1400000US41033361400","Census Tract 3614, Josephine County, Oregon","1205","44","44","171","1010"
"1400000US41033360701","Census Tract 3607.01, Josephine County, Oregon","1763","56","56","224","1539"
"1400000US41033360300","Census Tract 3603, Josephine County, Oregon","2359","121","121","380","1918"
"1400000US41033360400","Census Tract 3604, Josephine County, Oregon","1875","76","76","237","1638"
"1400000US41047010503","Census Tract 105.03, Marion County, Oregon","1469","45","45","158","1273"
"1400000US41047010701","Census Tract 107.01, Marion County, Oregon","2923","113","113","329","2531"
"1400000US41047001503","Census Tract 15.03, Marion County, Oregon","1739","68","68","123","1599"
"1400000US41047001601","Census Tract 16.01, Marion County, Oregon","2715","127","127","294","2328"
"1400000US41033361200","Census Tract 3612, Josephine County, Oregon","2905","85","85","372","2490"
"1400000US41033360100","Census Tract 3601, Josephine County, Oregon","899","49","49","136","744"
"1400000US41033360900","Census Tract 3609, Josephine County, Oregon","1186","40","40","181","1005"
"1400000US41033360600","Census Tract 3606, Josephine County, Oregon","2596","98","98","406","2173"
"1400000US41033360702","Census Tract 3607.02, Josephine County, Oregon","2661","102","102","326","2335"
"1400000US41033361000","Census Tract 3610, Josephine County, Oregon","2090","125","125","366","1712"
"1400000US41033361500","Census Tract 3615, Josephine County, Oregon","1097","100","100","195","855"
"1400000US41033361600","Census Tract 3616, Josephine County, Oregon","3610","271","271","509","3095"
"1400000US41033360800","Census Tract 3608, Josephine County, Oregon","2219","72","72","400","1801"
"1400000US41033360500","Census Tract 3605, Josephine County, Oregon","2447","14","14","188","2259"
"1400000US41035970200","Census Tract 9702, Klamath County, Oregon","2188","20","20","171","2014"
"1400000US41035970800","Census Tract 9708, Klamath County, Oregon","944","33","33","157","787"
"1400000US41035971600","Census Tract 9716, Klamath County, Oregon","1514","19","19","119","1395"
"1400000US41035971200","Census Tract 9712, Klamath County, Oregon","1006","38","38","77","929"
"1400000US41035971300","Census Tract 9713, Klamath County, Oregon","2157","47","47","235","1891"
"1400000US41035970600","Census Tract 9706, Klamath County, Oregon","579","11","17","31","537"
"1400000US41035970900","Census Tract 9709, Klamath County, Oregon","1800","28","28","235","1545"
"1400000US41035971900","Census Tract 9719, Klamath County, Oregon","1548","14","14","152","1388"
"1400000US41035972000","Census Tract 9720, Klamath County, Oregon","1842","24","24","202","1640"
"1400000US41035970100","Census Tract 9701, Klamath County, Oregon","1330","15","15","67","1248"
"1400000US41035970400","Census Tract 9704, Klamath County, Oregon","532","11","11","60","472"
"1400000US41035971400","Census Tract 9714, Klamath County, Oregon","2020","91","91","206","1795"
"1400000US41035971500","Census Tract 9715, Klamath County, Oregon","1773","54","54","149","1594"
"1400000US41035971800","Census Tract 9718, Klamath County, Oregon","1070","43","43","93","968"
"1400000US41035970300","Census Tract 9703, Klamath County, Oregon","1256","22","22","220","1036"
"1400000US41035970500","Census Tract 9705, Klamath County, Oregon","646","48","48","81","551"
"1400000US41035971100","Census Tract 9711, Klamath County, Oregon","1976","21","21","151","1825"
"1400000US41035970700","Census Tract 9707, Klamath County, Oregon","839","2","2","39","798"
"1400000US41035971700","Census Tract 9717, Klamath County, Oregon","1445","71","71","242","1203"
"1400000US41035971000","Census Tract 9710, Klamath County, Oregon","937","23","23","121","816"
"1400000US41059950500","Census Tract 9505, Umatilla County, Oregon","1789","63","63","209","1553"
"1400000US41059950700","Census Tract 9507, Umatilla County, Oregon","979","81","81","144","797"
"1400000US41059950900","Census Tract 9509, Umatilla County, Oregon","1605","80","80","63","1462"
"1400000US41059950200","Census Tract 9502, Umatilla County, Oregon","2636","11","11","187","2438"
"1400000US41059951400","Census Tract 9514, Umatilla County, Oregon","919","7","7","26","886"
"1400000US41059950300","Census Tract 9503, Umatilla County, Oregon","1118","31","31","118","979"
"1400000US41059950400","Census Tract 9504, Umatilla County, Oregon","1725","92","92","207","1446"
"1400000US41047002000","Census Tract 20, Marion County, Oregon","4305","63","63","517","3760"
"1400000US41047001603","Census Tract 16.03, Marion County, Oregon","2297","33","33","149","2130"
"1400000US41047001604","Census Tract 16.04, Marion County, Oregon","2842","189","189","306","2436"
"1400000US41047001701","Census Tract 17.01, Marion County, Oregon","2430","34","34","173","2223"
"1400000US41047001703","Census Tract 17.03, Marion County, Oregon","1522","54","54","142","1340"
"1400000US41047002400","Census Tract 24, Marion County, Oregon","1491","23","23","224","1252"
"1400000US41047010304","Census Tract 103.04, Marion County, Oregon","1684","49","49","143","1537"
"1400000US41047010400","Census Tract 104, Marion County, Oregon","1694","112","112","191","1449"
"1400000US41047010305","Census Tract 103.05, Marion County, Oregon","1235","81","81","125","1043"
"1400000US41047001803","Census Tract 18.03, Marion County, Oregon","1115","31","31","147","959"
"1400000US41047002600","Census Tract 26, Marion County, Oregon","680","17","17","87","587"
"1400000US41047002700","Census Tract 27, Marion County, Oregon","3265","69","69","425","2811"
"1400000US41047010501","Census Tract 105.01, Marion County, Oregon","2122","76","76","232","1888"
"1400000US41047000400","Census Tract 4, Marion County, Oregon","1759","26","26","153","1606"
"1400000US41047001000","Census Tract 10, Marion County, Oregon","1556","32","32","160","1375"
"1400000US41047001100","Census Tract 11, Marion County, Oregon","2049","49","49","243","1769"
"1400000US41047010303","Census Tract 103.03, Marion County, Oregon","1273","65","65","114","1151"
"1400000US41047010502","Census Tract 105.02, Marion County, Oregon","2488","152","152","462","2007"
"1400000US41047001702","Census Tract 17.02, Marion County, Oregon","1718","90","90","174","1497"
"1400000US41047000600","Census Tract 6, Marion County, Oregon","1920","82","82","227","1611"
"1400000US41047000200","Census Tract 2, Marion County, Oregon","1292","46","46","208","1075"
"1400000US41047000300","Census Tract 3, Marion County, Oregon","1943","8","8","130","1805"
"1400000US41047001200","Census Tract 12, Marion County, Oregon","1664","86","86","240","1405"
"1400000US41047000900","Census Tract 9, Marion County, Oregon","2210","15","15","229","1981"
"1400000US41047001502","Census Tract 15.02, Marion County, Oregon","1764","28","28","217","1547"
"1400000US41047002800","Census Tract 28, Marion County, Oregon","1519","61","61","274","1237"
"1400000US41047010100","Census Tract 101, Marion County, Oregon","471","22","22","47","413"
"1400000US41047010600","Census Tract 106, Marion County, Oregon","1020","15","15","91","918"
"1400000US41047001300","Census Tract 13, Marion County, Oregon","1935","58","58","208","1727"
"1400000US41047001501","Census Tract 15.01, Marion County, Oregon","1805","64","64","294","1497"
"1400000US41059950600","Census Tract 9506, Umatilla County, Oregon","2343","30","30","299","2044"
"1400000US41059950800","Census Tract 9508, Umatilla County, Oregon","2086","110","110","245","1810"
"1400000US41059951000","Census Tract 9510, Umatilla County, Oregon","2388","70","70","293","2095"
"1400000US41059951300","Census Tract 9513, Umatilla County, Oregon","1420","97","97","113","1257"
"1400000US41059950100","Census Tract 9501, Umatilla County, Oregon","1647","54","54","244","1370"
"1400000US41059951100","Census Tract 9511, Umatilla County, Oregon","2064","106","106","240","1773"
"1400000US41059951200","Census Tract 9512, Umatilla County, Oregon","3157","195","195","388","2661"
"1400000US41047001602","Census Tract 16.02, Marion County, Oregon","3454","96","96","309","3078"
"1400000US41047001802","Census Tract 18.02, Marion County, Oregon","2507","65","65","154","2336"
"1400000US41047002301","Census Tract 23.01, Marion County, Oregon","1250","37","37","148","1073"
"1400000US41051003100","Census Tract 31, Multnomah County, Oregon","1909","34","34","282","1627"
"1400000US41051004602","Census Tract 46.02, Multnomah County, Oregon","885","4","4","155","730"
"1400000US41051006900","Census Tract 69, Multnomah County, Oregon","1149","8","8","129","1020"
"1400000US41051003000","Census Tract 30, Multnomah County, Oregon","1925","29","29","369","1556"
"1400000US41051008301","Census Tract 83.01, Multnomah County, Oregon","1657","81","81","162","1482"
"1400000US41051010001","Census Tract 100.01, Multnomah County, Oregon","2475","108","108","288","2153"
"1400000US41051000401","Census Tract 4.01, Multnomah County, Oregon","1496","10","10","145","1351"
"1400000US41051004101","Census Tract 41.01, Multnomah County, Oregon","2881","70","70","202","2625"
"1400000US41053005300","Census Tract 53, Polk County, Oregon","3670","162","162","639","2973"
"1400000US41053020202","Census Tract 202.02, Polk County, Oregon","2761","47","47","333","2402"
"1400000US41053005201","Census Tract 52.01, Polk County, Oregon","3455","50","50","453","3002"
"1400000US41053020204","Census Tract 202.04, Polk County, Oregon","1833","29","29","271","1553"
"1400000US41053005100","Census Tract 51, Polk County, Oregon","882","12","12","72","810"
"1400000US41053020203","Census Tract 202.03, Polk County, Oregon","1082","0","0","149","933"
"1400000US41053020302","Census Tract 203.02, Polk County, Oregon","3359","102","102","438","2890"
"1400000US41053020400","Census Tract 204, Polk County, Oregon","2318","69","69","280","2014"
"1400000US41005020100","Census Tract 201, Clackamas County, Oregon","1700","7","7","249","1444"
"1400000US41005020302","Census Tract 203.02, Clackamas County, Oregon","1774","47","47","275","1499"
"1400000US41005020900","Census Tract 209, Clackamas County, Oregon","1714","59","59","261","1453"
"1400000US41005021602","Census Tract 216.02, Clackamas County, Oregon","1988","11","11","273","1715"
"1400000US41005024200","Census Tract 242, Clackamas County, Oregon","2409","52","52","214","2195"
"1400000US41005021900","Census Tract 219, Clackamas County, Oregon","1418","94","94","285","1114"
"1400000US41005022800","Census Tract 228, Clackamas County, Oregon","1995","85","85","452","1542"
"1400000US41005023202","Census Tract 232.02, Clackamas County, Oregon","2618","56","56","445","2173"
"1400000US41005021000","Census Tract 210, Clackamas County, Oregon","2013","59","59","320","1680"
"1400000US41005021500","Census Tract 215, Clackamas County, Oregon","2056","46","46","336","1686"
"1400000US41005021801","Census Tract 218.01, Clackamas County, Oregon","2248","48","48","332","1902"
"1400000US41005022602","Census Tract 226.02, Clackamas County, Oregon","1661","87","87","309","1352"
"1400000US41005022702","Census Tract 227.02, Clackamas County, Oregon","2674","73","73","370","2286"
"1400000US41005021300","Census Tract 213, Clackamas County, Oregon","2374","139","139","484","1861"
"1400000US41005020401","Census Tract 204.01, Clackamas County, Oregon","2258","64","64","487","1771"
"1400000US41005021100","Census Tract 211, Clackamas County, Oregon","2233","135","135","448","1785"
"1400000US41005021400","Census Tract 214, Clackamas County, Oregon","1968","20","20","417","1551"
