TableName,FullOrigColumnName,EditedColumnSub
S2802,S2802_C06_012E,E-NoComputer-Households-Race_Hispanic_Latino-HispanicorLatinoorigin(ofanyrace)
S2802,S2802_C07_012E,PE-NoComputer-Households-Race_Hispanic_Latino-HispanicorLatinoorigin(ofanyrace)
S2802,S2802_C01_013E,"E-Total-Households-Race_Hispanic_Latino-Whitealone,notHispanicorLatino"
S2802,S2802_C02_013E,"E-Computer-Broadband-Households-Race_Hispanic_Latino-Whitealone,notHispanicorLatino"
S2802,S2802_C03_013E,"PE-Computer-Broadband-Households-Race_Hispanic_Latino-Whitealone,notHispanicorLatino"
S2802,S2802_C04_013E,"E-Computer-NoInternet-Households-Race_Hispanic_Latino-Whitealone,notHispanicorLatino"
S2802,S2802_C05_013E,"PE-Computer-NoInternet-Households-Race_Hispanic_Latino-Whitealone,notHispanicorLatino"
S2802,S2802_C06_013E,"E-NoComputer-Households-Race_Hispanic_Latino-Whitealone,notHispanicorLatino"
S2802,S2802_C07_013E,"PE-NoComputer-Households-Race_Hispanic_Latino-Whitealone,notHispanicorLatino"
S2802,S2802_C01_014E,E-Total-Households-EDUATTAINfor25up
S2802,S2802_C02_014E,E-Computer-Broadband-Households-EDUATTAINfor25up
S2802,S2802_C03_014E,PE-Computer-Broadband-Households-EDUATTAINfor25up
S2802,S2802_C04_014E,E-Computer-NoInternet-Households-EDUATTAINfor25up
S2802,S2802_C05_014E,PE-Computer-NoInternet-Households-EDUATTAINfor25up
S2802,S2802_C06_014E,E-NoComputer-Households-EDUATTAINfor25up
S2802,S2802_C07_014E,PE-NoComputer-Households-EDUATTAINfor25up
S2802,S2802_C01_015E,E-Total-Households-EDUATTAINfor25up-Lessthanhighschoolgraduateorequivalency
S2802,S2802_C02_015E,E-Computer-Broadband-Households-EDUATTAINfor25up-Lessthanhighschoolgraduateorequivalency
S2802,S2802_C03_015E,PE-Computer-Broadband-Households-EDUATTAINfor25up-Lessthanhighschoolgraduateorequivalency
S2802,S2802_C04_015E,E-Computer-NoInternet-Households-EDUATTAINfor25up-Lessthanhighschoolgraduateorequivalency
S2802,S2802_C05_015E,PE-Computer-NoInternet-Households-EDUATTAINfor25up-Lessthanhighschoolgraduateorequivalency
S2802,S2802_C06_015E,E-NoComputer-Households-EDUATTAINfor25up-Lessthanhighschoolgraduateorequivalency
S2802,S2802_C07_015E,PE-NoComputer-Households-EDUATTAINfor25up-Lessthanhighschoolgraduateorequivalency
S2802,S2802_C01_016E,"E-Total-Households-EDUATTAINfor25up-Highschoolgraduate(includesequivalency),somecollegeorassociate'sdegree"
S2802,S2802_C02_016E,"E-Computer-Broadband-Households-EDUATTAINfor25up-Highschoolgraduate(includesequivalency),somecollegeorassociate'sdegree"
S2802,S2802_C03_016E,"PE-Computer-Broadband-Households-EDUATTAINfor25up-Highschoolgraduate(includesequivalency),somecollegeorassociate'sdegree"
S2802,S2802_C04_016E,"E-Computer-NoInternet-Households-EDUATTAINfor25up-Highschoolgraduate(includesequivalency),somecollegeorassociate'sdegree"
S2802,S2802_C05_016E,"PE-Computer-NoInternet-Households-EDUATTAINfor25up-Highschoolgraduate(includesequivalency),somecollegeorassociate'sdegree"
S2802,S2802_C06_016E,"E-NoComputer-Households-EDUATTAINfor25up-Highschoolgraduate(includesequivalency),somecollegeorassociate'sdegree"
S2802,S2802_C07_016E,"PE-NoComputer-Households-EDUATTAINfor25up-Highschoolgraduate(includesequivalency),somecollegeorassociate'sdegree"
S2802,S2802_C01_017E,E-Total-Households-EDUATTAINfor25up-Bachelor'sdegreeorhigher
S2802,S2802_C02_017E,E-Computer-Broadband-Households-EDUATTAINfor25up-Bachelor'sdegreeorhigher
S2802,S2802_C03_017E,PE-Computer-Broadband-Households-EDUATTAINfor25up-Bachelor'sdegreeorhigher
S2802,S2802_C04_017E,E-Computer-NoInternet-Households-EDUATTAINfor25up-Bachelor'sdegreeorhigher
S2802,S2802_C05_017E,PE-Computer-NoInternet-Households-EDUATTAINfor25up-Bachelor'sdegreeorhigher
S2802,S2802_C06_017E,E-NoComputer-Households--EDUATTAINfor25up-Bachelor'sdegreeorhigher
S2802,S2802_C07_017E,PE-NoComputer-Households--EDUATTAINfor25up-Bachelor'sdegreeorhigher
