"GEO_ID","id",
"NAME","Geographic Area Name",
"B28002_001E","Estimate!!Total",
"B28002_001M","Margin of Error!!Total",
"B28002_002E","Estimate!!Total!!With an Internet subscription",
"B28002_002M","Margin of Error!!Total!!With an Internet subscription",
"B28002_003E","Estimate!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription",
"B28002_003M","Margin of Error!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription",
"B28002_004E","Estimate!!Total!!With an Internet subscription!!Broadband of any type",
"B28002_004M","Margin of Error!!Total!!With an Internet subscription!!Broadband of any type",
"B28002_005E","Estimate!!Total!!With an Internet subscription!!Cellular data plan",
"B28002_005M","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan",
"B28002_006E","Estimate!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription",
"B28002_006M","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription",
"B28002_007E","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL",
"B28002_007M","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL",
"B28002_008E","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",
"B28002_008M","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",
"B28002_009E","Estimate!!Total!!With an Internet subscription!!Satellite Internet service",
"B28002_009M","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service",
"B28002_010E","Estimate!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription",
"B28002_010M","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription",
"B28002_011E","Estimate!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription",
"B28002_011M","Margin of Error!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription",
"B28002_012E","Estimate!!Total!!Internet access without a subscription",
"B28002_012M","Margin of Error!!Total!!Internet access without a subscription",
"B28002_013E","Estimate!!Total!!No Internet access",
"B28002_013M","Margin of Error!!Total!!No Internet access",
