"GEO_ID","NAME","B28004_001E","B28004_001M","B28004_002E","B28004_002M","B28004_003E","B28004_003M","B28004_004E","B28004_004M","B28004_005E","B28004_005M","B28004_006E","B28004_006M","B28004_007E","B28004_007M","B28004_008E","B28004_008M","B28004_009E","B28004_009M","B28004_010E","B28004_010M","B28004_011E","B28004_011M","B28004_012E","B28004_012M","B28004_013E","B28004_013M","B28004_014E","B28004_014M","B28004_015E","B28004_015M","B28004_016E","B28004_016M","B28004_017E","B28004_017M","B28004_018E","B28004_018M","B28004_019E","B28004_019M","B28004_020E","B28004_020M","B28004_021E","B28004_021M","B28004_022E","B28004_022M","B28004_023E","B28004_023M","B28004_024E","B28004_024M","B28004_025E","B28004_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!Less than $10,000!!With dial-up Internet subscription alone","Margin of Error!!Total!!Less than $10,000!!With dial-up Internet subscription alone","Estimate!!Total!!Less than $10,000!!With a broadband Internet subscription","Margin of Error!!Total!!Less than $10,000!!With a broadband Internet subscription","Estimate!!Total!!Less than $10,000!!Without an Internet subscription","Margin of Error!!Total!!Less than $10,000!!Without an Internet subscription","Estimate!!Total!!$10,000 to $19,999","Margin of Error!!Total!!$10,000 to $19,999","Estimate!!Total!!$10,000 to $19,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$10,000 to $19,999!!With dial-up Internet subscription alone","Estimate!!Total!!$10,000 to $19,999!!With a broadband Internet subscription","Margin of Error!!Total!!$10,000 to $19,999!!With a broadband Internet subscription","Estimate!!Total!!$10,000 to $19,999!!Without an Internet subscription","Margin of Error!!Total!!$10,000 to $19,999!!Without an Internet subscription","Estimate!!Total!!$20,000 to $34,999","Margin of Error!!Total!!$20,000 to $34,999","Estimate!!Total!!$20,000 to $34,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$20,000 to $34,999!!With dial-up Internet subscription alone","Estimate!!Total!!$20,000 to $34,999!!With a broadband Internet subscription","Margin of Error!!Total!!$20,000 to $34,999!!With a broadband Internet subscription","Estimate!!Total!!$20,000 to $34,999!!Without an Internet subscription","Margin of Error!!Total!!$20,000 to $34,999!!Without an Internet subscription","Estimate!!Total!!$35,000 to $49,999","Margin of Error!!Total!!$35,000 to $49,999","Estimate!!Total!!$35,000 to $49,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$35,000 to $49,999!!With dial-up Internet subscription alone","Estimate!!Total!!$35,000 to $49,999!!With a broadband Internet subscription","Margin of Error!!Total!!$35,000 to $49,999!!With a broadband Internet subscription","Estimate!!Total!!$35,000 to $49,999!!Without an Internet subscription","Margin of Error!!Total!!$35,000 to $49,999!!Without an Internet subscription","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$50,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Total!!$50,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Total!!$50,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!$50,000 to $74,999!!Without an Internet subscription","Margin of Error!!Total!!$50,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!$75,000 or more","Margin of Error!!Total!!$75,000 or more","Estimate!!Total!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Total!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Total!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Total!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Total!!$75,000 or more!!Without an Internet subscription"
"1400000US41019030000","Census Tract 300, Douglas County, Oregon","1594","99","92","48","3","6","39","29","50","36","150","44","10","11","79","37","61","25","311","78","17","14","234","73","60","37","298","72","0","12","236","61","62","38","331","75","0","12","304","72","27","17","412","74","9","15","386","75","17","10"
"1400000US41019060000","Census Tract 600, Douglas County, Oregon","1469","113","41","32","11","16","30","28","0","12","92","64","0","12","70","60","22","24","233","97","0","12","151","77","82","67","233","92","0","12","221","88","12","20","288","93","0","12","213","75","75","48","582","113","0","12","519","107","63","54"
"1400000US41019070000","Census Tract 700, Douglas County, Oregon","1931","197","42","42","18","28","12","23","12","21","77","73","0","12","0","12","77","73","496","175","0","12","382","169","114","70","279","134","0","12","246","136","33","37","302","124","0","12","288","120","14","23","735","153","0","12","703","149","32","37"
"1400000US41019200000","Census Tract 2000, Douglas County, Oregon","2061","122","171","73","0","17","56","41","115","56","275","93","0","17","156","77","119","53","448","94","8","12","316","81","124","49","372","108","8","12","241","70","123","86","475","109","13","14","400","98","62","37","320","107","0","17","264","88","56","60"
"1400000US41023960200","Census Tract 9602, Grant County, Oregon","2483","138","183","59","0","17","97","47","86","41","304","82","0","17","190","77","114","38","410","79","0","17","296","74","114","41","428","99","0","17","344","90","84","42","490","115","0","17","419","114","71","45","668","126","19","23","607","118","42","28"
"1400000US41067032410","Census Tract 324.10, Washington County, Oregon","1377","68","73","40","0","12","52","37","21","23","85","47","0","12","41","41","44","27","69","33","0","12","60","30","9","13","246","111","0","12","131","69","115","90","349","124","0","12","281","113","68","51","555","130","7","11","477","120","71","67"
"1400000US41067032501","Census Tract 325.01, Washington County, Oregon","949","70","48","26","0","12","27","22","21","18","149","54","0","12","77","36","72","44","219","86","0","12","89","44","130","75","116","50","0","12","83","42","33","27","214","68","0","12","214","68","0","12","203","55","0","12","166","44","37","30"
"1400000US41067032502","Census Tract 325.02, Washington County, Oregon","1083","70","18","21","0","12","0","12","18","21","33","28","0","12","22","22","11","17","156","78","0","12","87","64","69","52","76","44","0","12","69","42","7","12","186","66","0","12","131","56","55","39","614","101","0","12","473","114","141","67"
"1400000US41067032503","Census Tract 325.03, Washington County, Oregon","1353","44","6","9","0","12","6","9","0","12","76","58","0","12","27","25","49","52","154","61","0","12","130","59","24","25","133","58","0","12","133","58","0","12","268","84","0","12","250","80","18","19","716","98","0","12","678","103","38","37"
"1400000US41067032607","Census Tract 326.07, Washington County, Oregon","2583","171","66","58","0","12","66","58","0","12","79","52","0","12","53","42","26","29","132","68","0","12","132","68","0","12","187","83","0","12","160","77","27","32","458","129","0","12","383","113","75","63","1661","183","0","12","1541","196","120","77"
"1400000US41067032608","Census Tract 326.08, Washington County, Oregon","1020","59","36","25","0","12","32","23","4","8","6","10","0","12","6","10","0","12","73","39","0","12","68","38","5","8","58","28","0","12","51","25","7","10","165","43","0","12","154","41","11","12","682","73","0","12","630","76","52","36"
"1400000US41067032609","Census Tract 326.09, Washington County, Oregon","955","37","26","18","0","12","26","18","0","12","6","9","0","12","6","9","0","12","65","30","0","12","65","30","0","12","91","46","0","12","59","31","32","37","127","49","0","12","94","44","33","30","640","66","0","12","637","66","3","5"
"1400000US41067032610","Census Tract 326.10, Washington County, Oregon","967","47","29","31","0","12","29","31","0","12","29","20","0","12","11","11","18","16","41","28","0","12","41","28","0","12","95","43","0","12","85","41","10","11","212","67","0","12","159","56","53","45","561","74","0","12","535","76","26","29"
"1400000US41067033101","Census Tract 331.01, Washington County, Oregon","1168","81","44","29","0","12","35","26","9","14","55","38","8","14","39","32","8","13","242","77","0","12","170","71","72","54","184","59","0","12","133","55","51","51","223","74","0","12","191","69","32","41","420","82","0","12","413","83","7","12"
"1400000US41067033102","Census Tract 331.02, Washington County, Oregon","1218","95","28","25","0","12","28","25","0","12","80","44","0","12","29","30","51","32","197","80","6","11","112","64","79","47","279","128","0","12","185","109","94","94","277","125","0","12","216","119","61","62","357","86","0","12","357","86","0","12"
"1400000US41067033301","Census Tract 333.01, Washington County, Oregon","2098","128","37","28","0","17","37","28","0","17","96","55","0","17","63","47","33","25","278","106","0","17","260","105","18","19","240","107","0","17","124","70","116","76","463","142","0","17","352","95","111","107","984","181","0","17","927","182","57","48"
"1400000US41067033302","Census Tract 333.02, Washington County, Oregon","1921","91","53","43","0","17","28","24","25","38","84","51","7","10","51","36","26","37","58","34","0","17","50","31","8","13","198","76","0","17","170","69","28","34","283","84","0","17","256","68","27","41","1245","119","17","20","1228","121","0","17"
"1400000US41069960100","Census Tract 9601, Wheeler County, Oregon","661","53","67","25","0","12","35","17","32","18","113","33","2","2","50","22","61","27","161","51","0","12","107","44","54","24","89","27","0","12","56","23","33","17","124","34","0","12","113","32","11","8","107","30","0","12","101","30","6","4"
"1400000US41071030101","Census Tract 301.01, Yamhill County, Oregon","2173","120","69","47","0","17","69","47","0","17","64","68","0","17","9","16","55","67","150","78","0","17","96","62","54","45","307","122","0","17","272","109","35","57","385","123","0","17","355","114","30","46","1198","126","0","17","1163","130","35","39"
"1400000US41071030102","Census Tract 301.02, Yamhill County, Oregon","2968","171","173","81","14","23","125","72","34","39","168","113","16","25","55","47","97","103","176","85","0","17","154","80","22","27","420","126","0","17","375","134","45","42","567","175","0","17","498","154","69","64","1464","190","0","17","1453","191","11","20"
"1400000US41071030301","Census Tract 303.01, Yamhill County, Oregon","3310","193","100","57","0","19","79","52","21","26","208","102","5","7","112","75","91","80","240","97","0","19","145","67","95","80","478","171","0","19","406","162","72","74","738","137","14","21","652","133","72","63","1546","220","0","19","1425","217","121","69"
"1400000US41071030302","Census Tract 303.02, Yamhill County, Oregon","760","57","16","15","5","9","11","13","0","12","22","21","0","12","4","6","18","20","43","24","0","12","28","19","15","16","42","29","0","12","42","29","0","12","133","42","26","25","90","34","17","21","504","54","0","12","499","53","5","7"
"1400000US41003010600","Census Tract 106, Benton County, Oregon","1713","204","505","137","0","17","354","126","151","93","263","101","12","19","194","93","57","48","347","117","0","17","293","107","54","50","120","67","0","17","120","67","0","17","125","101","0","17","125","101","0","17","353","177","0","17","294","165","59","54"
"1400000US41071030601","Census Tract 306.01, Yamhill County, Oregon","1378","95","117","64","0","12","76","57","41","32","201","92","0","12","107","66","94","70","212","81","9","15","122","53","81","63","286","125","8","12","218","117","60","46","299","97","0","12","299","97","0","12","263","89","17","26","225","81","21","17"
"1400000US41071030602","Census Tract 306.02, Yamhill County, Oregon","2346","137","119","87","0","17","16","25","103","84","47","44","0","17","28","31","19","29","175","87","0","17","152","78","23","38","217","90","0","17","217","90","0","17","518","125","0","17","445","116","73","62","1270","180","0","17","1253","181","17","28"
"1400000US41003000202","Census Tract 2.02, Benton County, Oregon","2217","146","110","65","0","17","110","65","0","17","93","83","0","17","78","80","15","24","217","87","0","17","168","80","49","45","281","127","0","17","249","124","32","27","463","141","0","17","417","127","46","72","1053","161","0","17","1041","160","12","20"
"1400000US41003010702","Census Tract 107.02, Benton County, Oregon","1090","99","247","75","0","12","215","78","32","31","283","88","7","10","212","76","64","45","153","52","0","12","131","50","22","19","115","50","0","12","105","46","10","15","75","33","0","12","75","33","0","12","217","50","5","8","212","50","0","12"
"1400000US41003010800","Census Tract 108, Benton County, Oregon","1341","132","195","100","0","12","136","84","59","62","154","97","0","12","71","64","83","75","137","59","0","12","137","59","0","12","141","61","0","12","133","61","8","12","265","85","11","16","219","83","35","35","449","107","0","12","428","106","21","25"
"1400000US41003010900","Census Tract 109, Benton County, Oregon","2097","105","114","68","10","15","90","65","14","17","101","69","0","17","93","67","8","13","167","93","0","17","167","93","0","17","288","89","0","17","217","76","71","58","240","81","9","14","231","80","0","17","1187","103","0","17","1150","110","37","39"
"1400000US41023960100","Census Tract 9601, Grant County, Oregon","811","87","69","27","0","12","42","25","27","15","146","44","0","12","45","24","101","40","107","35","0","12","46","21","61","28","120","42","0","12","100","37","20","14","212","71","0","12","176","67","36","21","157","49","0","12","149","50","8","6"
"1400000US41031960100","Census Tract 9601, Jefferson County, Oregon","575","70","30","26","0","12","25","25","5","8","52","45","0","12","48","45","4","8","97","50","0","12","83","48","14","15","87","48","0","12","76","44","11","17","108","46","0","12","104","46","4","7","201","58","0","12","152","40","49","35"
"1400000US41053005202","Census Tract 52.02, Polk County, Oregon","3814","214","165","102","0","19","85","68","80","82","372","123","0","19","236","86","136","106","488","159","0","19","386","149","102","62","444","120","0","19","400","116","44","42","834","209","0","19","700","161","134","118","1511","188","0","19","1499","191","12","19"
"1400000US41039001002","Census Tract 10.02, Lane County, Oregon","1677","105","159","91","0","12","49","49","110","74","202","69","0","12","122","49","80","56","110","60","0","12","47","32","63","54","165","72","0","12","108","60","57","44","205","69","16","18","189","66","0","12","836","129","0","12","712","112","124","67"
"1400000US41039001804","Census Tract 18.04, Lane County, Oregon","1366","53","35","32","0","12","14","23","21","23","68","41","0","12","58","39","10","15","276","97","0","12","240","93","36","47","92","50","0","12","92","50","0","12","306","93","0","12","285","89","21","22","589","92","0","12","568","96","21","24"
"1400000US41039001902","Census Tract 19.02, Lane County, Oregon","2394","128","281","168","0","17","227","152","54","87","184","105","0","17","132","94","52","42","484","206","0","17","381","187","103","84","404","161","0","17","376","158","28","33","517","157","0","17","431","137","86","87","524","151","0","17","508","145","16","29"
"1400000US41039002201","Census Tract 22.01, Lane County, Oregon","1638","71","84","56","0","12","53","38","31","37","83","38","8","12","42","29","33","27","275","92","8","13","220","81","47","34","137","50","6","10","111","49","20","19","419","125","0","12","411","125","8","11","640","114","0","12","632","112","8","12"
"1400000US41039000404","Census Tract 4.04, Lane County, Oregon","1467","105","33","25","8","12","7","10","18","21","164","88","0","12","147","84","17","27","268","99","0","12","164","68","104","78","149","75","0","12","108","53","41","48","433","103","8","12","333","94","92","81","420","113","0","12","392","106","28","25"
"1400000US41039000702","Census Tract 7.02, Lane County, Oregon","1126","84","89","35","0","12","59","31","30","21","189","70","0","12","132","64","57","29","92","34","3","11","71","30","18","16","167","56","0","12","143","54","24","20","272","74","9","14","245","75","18","16","317","69","11","13","279","71","27","19"
"1400000US41039000902","Census Tract 9.02, Lane County, Oregon","1791","110","54","35","0","12","26","23","28","26","151","70","0","12","101","69","50","34","243","89","8","14","145","71","90","61","242","86","13","20","181","75","48","49","354","104","0","12","299","89","55","40","747","117","13","16","664","123","70","37"
"1400000US41039001201","Census Tract 12.01, Lane County, Oregon","1433","147","131","87","0","12","69","51","62","60","136","74","0","12","87","62","49","53","264","116","0","12","186","106","78","52","192","71","0","12","168","71","24","23","300","103","0","12","201","78","99","61","410","94","0","12","391","91","19","22"
"1400000US41039003102","Census Tract 31.02, Lane County, Oregon","3459","208","607","196","0","17","428","161","179","123","531","178","0","17","309","145","222","98","473","189","0","17","326","153","147","114","497","197","0","17","404","178","93","80","494","158","0","17","433","150","61","66","857","208","0","17","816","194","41","38"
