"GEO_ID","id",
"NAME","Geographic Area Name",
"B28007_001E","Estimate!!Total",
"B28007_001M","Margin of Error!!Total",
"B28007_002E","Estimate!!Total!!In the civilian labor force",
"B28007_002M","Margin of Error!!Total!!In the civilian labor force",
"B28007_003E","Estimate!!Total!!In the civilian labor force!!Employed",
"B28007_003M","Margin of Error!!Total!!In the civilian labor force!!Employed",
"B28007_004E","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer",
"B28007_004M","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer",
"B28007_005E","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!With dial-up Internet subscription alone",
"B28007_005M","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!With dial-up Internet subscription alone",
"B28007_006E","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!With a broadband Internet subscription",
"B28007_006M","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!With a broadband Internet subscription",
"B28007_007E","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!Without an Internet subscription",
"B28007_007M","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!Without an Internet subscription",
"B28007_008E","Estimate!!Total!!In the civilian labor force!!Employed!!No computer",
"B28007_008M","Margin of Error!!Total!!In the civilian labor force!!Employed!!No computer",
"B28007_009E","Estimate!!Total!!In the civilian labor force!!Unemployed",
"B28007_009M","Margin of Error!!Total!!In the civilian labor force!!Unemployed",
"B28007_010E","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer",
"B28007_010M","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer",
"B28007_011E","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With dial-up Internet subscription alone",
"B28007_011M","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With dial-up Internet subscription alone",
"B28007_012E","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With a broadband Internet subscription",
"B28007_012M","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With a broadband Internet subscription",
"B28007_013E","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!Without an Internet subscription",
"B28007_013M","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!Without an Internet subscription",
"B28007_014E","Estimate!!Total!!In the civilian labor force!!Unemployed!!No computer",
"B28007_014M","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!No computer",
"B28007_015E","Estimate!!Total!!Not in labor force",
"B28007_015M","Margin of Error!!Total!!Not in labor force",
"B28007_016E","Estimate!!Total!!Not in labor force!!Has a computer",
"B28007_016M","Margin of Error!!Total!!Not in labor force!!Has a computer",
"B28007_017E","Estimate!!Total!!Not in labor force!!Has a computer!!With dial-up Internet subscription alone",
"B28007_017M","Margin of Error!!Total!!Not in labor force!!Has a computer!!With dial-up Internet subscription alone",
"B28007_018E","Estimate!!Total!!Not in labor force!!Has a computer!!With a broadband Internet subscription",
"B28007_018M","Margin of Error!!Total!!Not in labor force!!Has a computer!!With a broadband Internet subscription",
"B28007_019E","Estimate!!Total!!Not in labor force!!Has a computer!!Without an Internet subscription",
"B28007_019M","Margin of Error!!Total!!Not in labor force!!Has a computer!!Without an Internet subscription",
"B28007_020E","Estimate!!Total!!Not in labor force!!No computer",
"B28007_020M","Margin of Error!!Total!!Not in labor force!!No computer",
