"GEO_ID","NAME","B28005_001E","B28005_001M","B28005_002E","B28005_002M","B28005_003E","B28005_003M","B28005_004E","B28005_004M","B28005_005E","B28005_005M","B28005_006E","B28005_006M","B28005_007E","B28005_007M","B28005_008E","B28005_008M","B28005_009E","B28005_009M","B28005_010E","B28005_010M","B28005_011E","B28005_011M","B28005_012E","B28005_012M","B28005_013E","B28005_013M","B28005_014E","B28005_014M","B28005_015E","B28005_015M","B28005_016E","B28005_016M","B28005_017E","B28005_017M","B28005_018E","B28005_018M","B28005_019E","B28005_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under 18 years","Margin of Error!!Total!!Under 18 years","Estimate!!Total!!Under 18 years!!Has a computer","Margin of Error!!Total!!Under 18 years!!Has a computer","Estimate!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Under 18 years!!No computer","Margin of Error!!Total!!Under 18 years!!No computer","Estimate!!Total!!18 to 64 years","Margin of Error!!Total!!18 to 64 years","Estimate!!Total!!18 to 64 years!!Has a computer","Margin of Error!!Total!!18 to 64 years!!Has a computer","Estimate!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!18 to 64 years!!No computer","Margin of Error!!Total!!18 to 64 years!!No computer","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over","Estimate!!Total!!65 years and over!!Has a computer","Margin of Error!!Total!!65 years and over!!Has a computer","Estimate!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Estimate!!Total!!65 years and over!!No computer","Margin of Error!!Total!!65 years and over!!No computer"
"1400000US41039002800","Census Tract 28, Lane County, Oregon","4779","308","992","182","937","180","0","12","808","232","129","93","55","53","2957","208","2895","215","0","12","2720","256","175","111","62","50","830","116","728","128","34","54","665","121","29","35","102","56"
"1400000US41039004100","Census Tract 41, Lane County, Oregon","4444","336","860","165","860","165","0","12","824","163","36","44","0","12","2953","250","2945","250","0","12","2766","259","179","119","8","13","631","92","556","84","0","12","549","85","7","12","75","50"
"1400000US41039004900","Census Tract 49, Lane County, Oregon","4405","365","720","122","720","122","0","12","671","106","49","62","0","12","3068","344","3068","344","0","12","2970","356","98","66","0","12","617","86","590","85","0","12","580","85","10","16","27","25"
"1400000US41039005300","Census Tract 53, Lane County, Oregon","2369","196","402","64","402","64","0","12","402","64","0","12","0","12","1445","172","1430","174","0","12","1410","171","20","23","15","17","522","64","476","53","0","12","476","53","0","12","46","48"
"1400000US41039000300","Census Tract 3, Lane County, Oregon","2419","181","498","82","498","82","0","12","455","70","43","44","0","12","1431","138","1407","141","20","31","1316","149","71","47","24","21","490","58","468","56","0","12","445","61","23","21","22","22"
"1400000US41039001101","Census Tract 11.01, Lane County, Oregon","5897","457","1425","263","1425","263","0","17","1400","263","25","38","0","17","3241","313","3201","322","36","58","3107","340","58","51","40","60","1231","252","1080","245","33","38","895","186","152","155","151","152"
"1400000US41039001102","Census Tract 11.02, Lane County, Oregon","3451","353","846","157","846","157","0","12","846","157","0","12","0","12","1945","274","1891","268","24","30","1718","232","149","115","54","45","660","120","545","121","0","12","468","111","77","46","115","72"
"1400000US41039001400","Census Tract 14, Lane County, Oregon","2634","273","524","173","514","171","0","12","463","164","51","67","10","16","1590","184","1484","187","20","23","1273","210","191","107","106","65","520","76","426","76","3","5","409","77","14","18","94","49"
"1400000US41039001700","Census Tract 17, Lane County, Oregon","5585","442","1098","249","1098","249","16","26","1082","248","0","17","0","17","3273","312","3116","314","47","55","2989","330","80","92","157","115","1214","166","1087","178","15","25","1008","182","64","64","127","88"
"1400000US41039002401","Census Tract 24.01, Lane County, Oregon","3902","201","853","116","853","116","0","12","827","119","26","39","0","12","2232","137","2224","139","0","12","2144","149","80","61","8","13","817","59","798","63","0","12","755","69","43","41","19","22"
"1400000US41039002902","Census Tract 29.02, Lane County, Oregon","3974","257","960","155","960","155","0","12","904","163","56","54","0","12","2200","176","2173","180","0","12","2050","172","123","102","27","44","814","108","665","113","33","29","552","112","80","51","149","67"
"1400000US41039003000","Census Tract 30, Lane County, Oregon","4509","305","790","154","790","154","0","12","790","154","0","12","0","12","2585","213","2492","217","0","12","2382","202","110","106","93","68","1134","134","1059","136","0","12","953","131","106","80","75","51"
