"GEO_ID","id",
"NAME","Geographic Area Name",
"B28004_001E","Estimate!!Total",
"B28004_001M","Margin of Error!!Total",
"B28004_002E","Estimate!!Total!!Less than $10,000",
"B28004_002M","Margin of Error!!Total!!Less than $10,000",
"B28004_003E","Estimate!!Total!!Less than $10,000!!With dial-up Internet subscription alone",
"B28004_003M","Margin of Error!!Total!!Less than $10,000!!With dial-up Internet subscription alone",
"B28004_004E","Estimate!!Total!!Less than $10,000!!With a broadband Internet subscription",
"B28004_004M","Margin of Error!!Total!!Less than $10,000!!With a broadband Internet subscription",
"B28004_005E","Estimate!!Total!!Less than $10,000!!Without an Internet subscription",
"B28004_005M","Margin of Error!!Total!!Less than $10,000!!Without an Internet subscription",
"B28004_006E","Estimate!!Total!!$10,000 to $19,999",
"B28004_006M","Margin of Error!!Total!!$10,000 to $19,999",
"B28004_007E","Estimate!!Total!!$10,000 to $19,999!!With dial-up Internet subscription alone",
"B28004_007M","Margin of Error!!Total!!$10,000 to $19,999!!With dial-up Internet subscription alone",
"B28004_008E","Estimate!!Total!!$10,000 to $19,999!!With a broadband Internet subscription",
"B28004_008M","Margin of Error!!Total!!$10,000 to $19,999!!With a broadband Internet subscription",
"B28004_009E","Estimate!!Total!!$10,000 to $19,999!!Without an Internet subscription",
"B28004_009M","Margin of Error!!Total!!$10,000 to $19,999!!Without an Internet subscription",
"B28004_010E","Estimate!!Total!!$20,000 to $34,999",
"B28004_010M","Margin of Error!!Total!!$20,000 to $34,999",
"B28004_011E","Estimate!!Total!!$20,000 to $34,999!!With dial-up Internet subscription alone",
"B28004_011M","Margin of Error!!Total!!$20,000 to $34,999!!With dial-up Internet subscription alone",
"B28004_012E","Estimate!!Total!!$20,000 to $34,999!!With a broadband Internet subscription",
"B28004_012M","Margin of Error!!Total!!$20,000 to $34,999!!With a broadband Internet subscription",
"B28004_013E","Estimate!!Total!!$20,000 to $34,999!!Without an Internet subscription",
"B28004_013M","Margin of Error!!Total!!$20,000 to $34,999!!Without an Internet subscription",
"B28004_014E","Estimate!!Total!!$35,000 to $49,999",
"B28004_014M","Margin of Error!!Total!!$35,000 to $49,999",
"B28004_015E","Estimate!!Total!!$35,000 to $49,999!!With dial-up Internet subscription alone",
"B28004_015M","Margin of Error!!Total!!$35,000 to $49,999!!With dial-up Internet subscription alone",
"B28004_016E","Estimate!!Total!!$35,000 to $49,999!!With a broadband Internet subscription",
"B28004_016M","Margin of Error!!Total!!$35,000 to $49,999!!With a broadband Internet subscription",
"B28004_017E","Estimate!!Total!!$35,000 to $49,999!!Without an Internet subscription",
"B28004_017M","Margin of Error!!Total!!$35,000 to $49,999!!Without an Internet subscription",
"B28004_018E","Estimate!!Total!!$50,000 to $74,999",
"B28004_018M","Margin of Error!!Total!!$50,000 to $74,999",
"B28004_019E","Estimate!!Total!!$50,000 to $74,999!!With dial-up Internet subscription alone",
"B28004_019M","Margin of Error!!Total!!$50,000 to $74,999!!With dial-up Internet subscription alone",
"B28004_020E","Estimate!!Total!!$50,000 to $74,999!!With a broadband Internet subscription",
"B28004_020M","Margin of Error!!Total!!$50,000 to $74,999!!With a broadband Internet subscription",
"B28004_021E","Estimate!!Total!!$50,000 to $74,999!!Without an Internet subscription",
"B28004_021M","Margin of Error!!Total!!$50,000 to $74,999!!Without an Internet subscription",
"B28004_022E","Estimate!!Total!!$75,000 or more",
"B28004_022M","Margin of Error!!Total!!$75,000 or more",
"B28004_023E","Estimate!!Total!!$75,000 or more!!With dial-up Internet subscription alone",
"B28004_023M","Margin of Error!!Total!!$75,000 or more!!With dial-up Internet subscription alone",
"B28004_024E","Estimate!!Total!!$75,000 or more!!With a broadband Internet subscription",
"B28004_024M","Margin of Error!!Total!!$75,000 or more!!With a broadband Internet subscription",
"B28004_025E","Estimate!!Total!!$75,000 or more!!Without an Internet subscription",
"B28004_025M","Margin of Error!!Total!!$75,000 or more!!Without an Internet subscription",
