"GEO_ID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer"
"1400000US41039001002","Census Tract 10.02, Lane County, Oregon","1677","105","1499","104","16","18","1220","117","263","85","178","73"
"1400000US41039001804","Census Tract 18.04, Lane County, Oregon","1366","53","1287","68","0","12","1247","79","40","50","79","45"
"1400000US41039001902","Census Tract 19.02, Lane County, Oregon","2394","128","2211","152","0","17","1976","177","235","149","183","124"
"1400000US41039002201","Census Tract 22.01, Lane County, Oregon","1638","71","1561","81","22","20","1459","102","80","48","77","43"
"1400000US41039000404","Census Tract 4.04, Lane County, Oregon","1467","105","1327","120","16","17","1138","140","173","97","140","71"
"1400000US41039000702","Census Tract 7.02, Lane County, Oregon","1126","84","1036","80","23","24","927","92","86","36","90","39"
"1400000US41039000902","Census Tract 9.02, Lane County, Oregon","1791","110","1591","127","34","30","1416","138","141","74","200","74"
"1400000US41039001201","Census Tract 12.01, Lane County, Oregon","1433","147","1325","138","0","12","1102","122","223","90","108","66"
"1400000US41039003102","Census Tract 31.02, Lane County, Oregon","3459","208","3330","196","0","17","2691","257","639","194","129","62"
"1400000US41039003700","Census Tract 37, Lane County, Oregon","706","95","701","95","4","6","445","74","252","75","5","7"
"1400000US41039005200","Census Tract 52, Lane County, Oregon","1030","43","969","57","0","12","911","66","58","37","61","49"
"1400000US41039003500","Census Tract 35, Lane County, Oregon","1613","88","1509","100","0","12","1407","109","102","57","104","64"
"1400000US41039003600","Census Tract 36, Lane County, Oregon","1631","90","1427","102","0","12","1302","104","125","72","204","81"
"1400000US41039001301","Census Tract 13.01, Lane County, Oregon","1397","88","1190","89","17","20","990","92","183","79","207","79"
"1400000US41039001803","Census Tract 18.03, Lane County, Oregon","1676","85","1568","95","16","20","1295","121","257","97","108","49"
"1400000US41039001904","Census Tract 19.04, Lane County, Oregon","2303","123","1965","154","5","9","1771","171","189","115","338","121"
"1400000US41039002001","Census Tract 20.01, Lane County, Oregon","1444","32","1189","104","0","12","1176","106","13","20","255","98"
"1400000US41071030501","Census Tract 305.01, Yamhill County, Oregon","1755","147","1502","155","15","19","1331","146","156","65","253","110"
"1400000US41071030702","Census Tract 307.02, Yamhill County, Oregon","2864","162","2594","208","0","17","2219","222","375","164","270","138"
"1400000US41071031000","Census Tract 310, Yamhill County, Oregon","1419","139","1295","119","27","31","1130","113","138","62","124","86"
"1400000US41071030201","Census Tract 302.01, Yamhill County, Oregon","2098","184","1931","189","19","32","1593","205","319","141","167","103"
"1400000US41005020403","Census Tract 204.03, Clackamas County, Oregon","1319","55","1292","53","0","12","1250","64","42","41","27","25"
"1400000US41005020404","Census Tract 204.04, Clackamas County, Oregon","1456","66","1428","71","0","12","1408","73","20","26","28","24"
"1400000US41005020504","Census Tract 205.04, Clackamas County, Oregon","2560","93","2539","99","12","19","2422","117","105","60","21","28"
"1400000US41005020505","Census Tract 205.05, Clackamas County, Oregon","1173","70","1056","72","20","24","980","79","56","39","117","58"
"1400000US41005022105","Census Tract 221.05, Clackamas County, Oregon","2251","120","2160","139","14","24","2040","138","106","75","91","98"
"1400000US41005022107","Census Tract 221.07, Clackamas County, Oregon","1822","129","1695","152","0","12","1501","157","194","97","127","77"
"1400000US41005022108","Census Tract 221.08, Clackamas County, Oregon","1381","75","1281","88","21","23","1108","99","152","81","100","57"
"1400000US41005022205","Census Tract 222.05, Clackamas County, Oregon","1424","69","1415","67","10","16","1312","89","93","56","9","15"
"1400000US41005022206","Census Tract 222.06, Clackamas County, Oregon","2491","112","2394","126","0","17","2371","131","23","30","97","56"
"1400000US41005022207","Census Tract 222.07, Clackamas County, Oregon","1971","108","1971","108","0","17","1911","104","60","47","0","17"
"1400000US41005022208","Census Tract 222.08, Clackamas County, Oregon","2391","139","2366","148","11","16","2272","152","83","60","25","31"
"1400000US41005022301","Census Tract 223.01, Clackamas County, Oregon","1536","60","1466","66","0","12","1376","84","90","57","70","40"
"1400000US41005022302","Census Tract 223.02, Clackamas County, Oregon","2071","139","1978","149","0","17","1908","163","70","55","93","70"
"1400000US41005022603","Census Tract 226.03, Clackamas County, Oregon","1438","98","1357","111","32","51","1291","116","34","42","81","68"
"1400000US41005022605","Census Tract 226.05, Clackamas County, Oregon","2649","134","2518","164","44","45","2410","170","64","52","131","80"
"1400000US41005022710","Census Tract 227.10, Clackamas County, Oregon","1131","78","1084","88","0","12","971","92","113","67","47","34"
"1400000US41005022606","Census Tract 226.06, Clackamas County, Oregon","1818","95","1748","108","0","17","1671","116","77","70","70","58"
"1400000US41005022707","Census Tract 227.07, Clackamas County, Oregon","2413","127","2362","122","0","17","2102","140","260","101","51","37"
"1400000US41005022708","Census Tract 227.08, Clackamas County, Oregon","1518","104","1427","108","0","12","1298","127","129","97","91","39"
"1400000US41005022904","Census Tract 229.04, Clackamas County, Oregon","1376","81","1257","96","9","15","1134","112","114","69","119","66"
"1400000US41005022905","Census Tract 229.05, Clackamas County, Oregon","1625","79","1561","90","16","21","1491","98","54","44","64","47"
"1400000US41005022906","Census Tract 229.06, Clackamas County, Oregon","1226","83","1128","88","0","12","1047","82","81","46","98","47"
