"GEO_ID","id",
"S2802_C02_004M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!AGE!!65 years and over",
"S2802_C02_005E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C02_005M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C02_006E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C02_006M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C02_007E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C02_007M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C02_008E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C02_008M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C02_009E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C02_009M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C02_010E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C02_010M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C02_011E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C02_011M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C02_012E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C02_012M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C02_013E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C02_013M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C02_014E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C02_014M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C02_015E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
"S2802_C02_015M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
"S2802_C02_016E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
"S2802_C02_016M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
"S2802_C02_017E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher",
"S2802_C02_017M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher",
"S2802_C02_018E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over",
"S2802_C02_018M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over",
"S2802_C02_019E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force",
"S2802_C02_019M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force",
"S2802_C02_020E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Employed",
"S2802_C02_020M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Employed",
"S2802_C02_021E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed",
"S2802_C02_021M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed",
"S2802_C02_022E","Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!Not in labor force",
"S2802_C02_022M","Margin of Error!!With a computer!!Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!Not in labor force",
"S2802_C03_001E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households",
"S2802_C03_001M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households",
"S2802_C03_002E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!AGE!!Under 18 years",
"S2802_C03_002M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!AGE!!Under 18 years",
"S2802_C03_003E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!AGE!!18 to 64 years",
"S2802_C03_003M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!AGE!!18 to 64 years",
"S2802_C03_004E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!AGE!!65 years and over",
"S2802_C03_004M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!AGE!!65 years and over",
"S2802_C03_005E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C03_005M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C03_006E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C03_006M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C03_007E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C03_007M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C03_008E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C03_008M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C03_009E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C03_009M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C03_010E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C03_010M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C03_011E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C03_011M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C03_012E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C03_012M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C03_013E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C03_013M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C03_014E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C03_014M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C03_015E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
